Subject_ID,Day,total_reads,Cdiff_read_count,%C. difficile
A,280,58843,0,0
A,281,68406,0,0
A,282,36132,0,0
A,283,33927,0,0
A,284,67989,0,0
A,285,63379,0,0
A,286,56532,0,0
A,288,73251,0,0
A,289,105229,0,0
A,290,104411,0,0
A,291,117545,0,0
A,292,160929,1,6.21E-06
