Condition,Time,Row,Column,Sample,AC,BA,BC,BF,BH,BL,BO,BP,BT,BU,BV,BY,CA,CC,CD,CG,CH,CS,DF,DL,DP,EH,EL,ER,Escherichia_coli,FP,HB,OD600,PC,PJ,RI,Total,Unclassified
CD BH 10,0,E,8,P17E08,2,1,0,0,15094,0,0,0,1,0,0,0,0,0,2509,0,0,2,0,0,0,0,0,1,0,1,0,0.0022,1,0,0,17619,7
CD BH 10,0,D,8,P17D08,1,0,0,0,13090,0,0,0,1,0,0,0,0,0,2326,0,0,1,0,0,1,0,0,0,0,2,2,0.0022,1,1,0,15437,11
CD BH 10,0,C,8,P17C08,0,0,0,0,9837,0,0,0,3,2,0,0,0,0,1482,0,0,0,0,0,0,0,1,0,0,0,0,0.0022,0,0,0,11338,13
CD BH 50,0,H,8,P17H08,0,1,0,0,7858,0,1,0,3,4,0,0,0,0,9605,0,0,0,0,0,0,0,2,1,0,3,0,0.0022,1,0,0,17497,18
CD BH 50,0,G,8,P17G08,1,0,0,0,1967,0,0,0,2,1,1,0,0,0,3062,0,0,0,0,0,0,0,2,1,0,3,0,0.0022,0,0,0,5048,8
CD BH 50,0,F,8,P17F08,0,0,0,0,3540,0,0,0,2,3,0,0,0,0,5040,0,1,0,0,0,0,0,1,0,0,1,0,0.0022,0,0,0,8615,27
CD BO 10,0,E,3,P17E03,0,0,2,0,0,0,13020,0,26,0,0,0,0,0,1477,0,2,0,0,0,0,0,0,2,0,1,0,0.0022,0,0,0,14530,0
CD BO 10,0,D,3,P17D03,0,0,0,0,0,0,19803,0,6,1,0,0,0,0,1971,0,2,1,0,0,0,0,0,1,0,0,0,0.0022,0,0,0,21785,0
CD BO 10,0,C,3,P17C03,0,0,1,0,0,0,20578,0,15,3,0,0,0,0,2011,0,0,4,0,0,1,0,0,0,0,2,0,0.0022,0,0,0,22615,0
CD BO 50,0,H,3,P17H03,2,2,0,0,0,0,11652,0,15,0,0,0,0,0,8243,0,1,1,0,0,0,0,0,2,7,1,1,0.0022,0,16,0,19943,0
CD BO 50,0,G,3,P17G03,0,1,0,0,0,0,11927,0,3,1,0,0,0,0,7920,0,2,1,0,0,0,0,0,0,0,2,0,0.0022,0,0,0,19857,0
CD BO 50,0,F,3,P17F03,0,0,0,0,0,0,24,0,0,4,0,0,0,0,1196,0,5,0,0,0,0,0,0,1,0,0,0,0.0022,1,0,0,1231,0
CD BT 10,0,E,2,P17E02,0,0,0,0,0,0,0,0,15471,0,0,0,0,0,2323,0,1,1,0,0,0,0,0,0,1,1,0,0.0022,0,0,0,17809,11
CD BT 10,0,D,2,P17D02,1,0,0,0,0,0,0,0,11429,0,0,0,0,0,1580,0,1,0,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,13015,4
CD BT 10,0,C,2,P17C02,0,0,0,0,0,0,0,0,18309,0,0,0,0,0,2188,0,1,1,0,0,2,0,1,0,1,0,0,0.0022,0,0,0,20510,7
CD BT 50,0,H,2,P17H02,0,0,0,0,0,0,0,0,9542,2,0,0,0,0,9252,0,3,0,0,0,4,0,0,1,0,0,0,0.0022,1,0,0,18830,25
CD BT 50,0,G,2,P17G02,0,0,0,0,0,0,0,0,4235,2,0,0,0,0,5519,0,0,1,0,0,2,0,0,0,0,0,0,0.0022,0,0,0,9770,11
CD BT 50,0,F,2,P17F02,0,0,0,0,0,0,0,0,216,1,0,0,0,0,3034,0,1,0,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,3252,0
CD BU 10,0,E,1,P17E01,0,1,0,0,0,0,0,0,0,11607,0,0,0,0,1402,0,0,0,0,0,0,0,0,1,1,0,1,0.0022,0,0,0,13014,1
CD BU 10,0,D,1,P17D01,0,0,0,0,0,0,0,0,1,13959,0,0,0,1,2380,0,0,3,0,0,0,0,0,0,0,1,0,0.0022,0,0,0,16355,10
CD BU 10,0,C,1,P17C01,1,0,0,0,0,0,0,0,0,14875,0,0,0,0,2854,0,1,0,0,0,1,0,1,0,0,0,1,0.0022,0,0,0,17744,10
CD BU 50,0,H,1,P17H01,0,0,0,0,0,0,1,0,0,5496,0,0,0,0,6472,0,1,1,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,12021,50
CD BU 50,0,G,1,P17G01,0,0,0,0,0,0,0,0,0,5565,1,0,0,0,8203,0,6,1,0,0,2,0,2,1,0,0,0,0.0022,0,0,0,13839,58
CD BU 50,0,F,1,P17F01,0,0,0,0,2,0,0,0,0,6909,0,0,0,0,7932,0,0,1,0,0,0,0,0,0,0,1,0,0.0022,0,0,0,14880,35
CD BV 10,0,B,9,P17B09,1,0,0,0,0,0,0,0,2,1,4880,0,0,0,2066,0,1,0,0,0,0,0,0,0,0,4,0,0.0022,0,0,0,6959,4
CD BV 10,0,B,8,P17B08,0,0,0,0,0,0,0,0,1,1,12720,0,0,0,1761,0,0,0,0,0,0,0,2,0,0,1,0,0.0022,0,0,0,14487,1
CD BV 10,0,B,7,P17B07,0,0,0,0,0,0,0,0,1,0,13837,0,0,0,2702,0,0,0,0,0,0,0,1,1,0,1,0,0.0022,0,0,0,16550,7
CD BV 50,0,B,12,P17B12,0,0,0,0,1,0,0,0,0,2,11,0,0,0,549,0,0,2,0,0,0,0,0,0,0,1,0,0.0022,0,0,0,566,0
CD BV 50,0,B,11,P17B11,0,0,0,0,0,0,0,0,3,2,3261,0,0,0,6652,0,0,0,0,0,0,0,0,1,0,1,0,0.0022,0,0,0,9934,14
CD BV 50,0,B,10,P17B10,1,0,0,0,1,0,1,0,0,1,11275,0,0,0,10021,0,0,0,0,0,0,0,2,2,0,1,1,0.0022,0,0,0,21316,10
CD CH 10,0,E,4,P17E04,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2457,0,8962,1,0,0,1,0,0,0,0,2,1,0.0022,0,0,0,11429,2
CD CH 10,0,D,4,P17D04,0,1,0,0,0,0,2,0,0,2,0,0,0,0,2072,0,8452,0,0,0,0,0,1,0,0,1,3,0.0022,1,0,0,10540,5
CD CH 10,0,C,4,P17C04,0,0,0,0,1,0,0,0,0,5,2,0,0,0,2264,0,7726,0,0,0,0,0,1,0,0,0,0,0.0022,0,0,0,10002,3
CD CH 50,0,H,4,P17H04,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4842,0,2254,0,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,7122,24
CD CH 50,0,G,4,P17G04,0,0,0,0,0,0,1,0,0,5,0,0,0,0,10418,0,4521,0,0,0,2,0,0,0,0,1,0,0.0022,0,0,0,14962,14
CD CH 50,0,F,4,P17F04,0,0,0,0,0,0,1,0,0,2,1,0,0,0,6628,0,2845,0,0,0,1,0,0,0,0,0,0,0.0022,0,0,0,9481,3
CD CS 10,0,E,12,P17E12,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1929,0,0,12030,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,13991,28
CD CS 10,0,D,12,P17D12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1053,0,0,7004,0,0,0,0,0,1,0,0,0,0.0022,0,0,0,8078,17
CD CS 10,0,C,12,P17C12,0,1,0,0,2,0,0,0,0,4,1,0,0,0,2459,0,0,19140,0,0,0,0,0,0,1,0,0,0.0022,0,0,0,21615,7
CD CS 50,0,H,12,P17H12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14186,0,0,9383,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,23598,27
CD CS 50,0,G,12,P17G12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,824,0,0,515,0,0,0,0,2,0,0,0,0,0.0022,0,0,0,1344,1
CD CS 50,0,F,12,P17F12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7165,0,0,6885,0,0,1,0,0,0,0,0,0,0.0022,0,0,0,14081,20
CD DP 10,0,E,11,P17E11,1,0,0,0,2,0,0,0,2,4,0,0,0,0,9557,0,1,0,0,0,6136,0,0,1,0,2,0,0.0022,0,0,0,15716,10
CD DP 10,0,D,11,P17D11,1,1,0,0,3,0,1,0,1,2,0,0,0,0,6305,0,0,0,0,0,5957,0,1,1,0,1,2,0.0022,0,0,0,12280,4
CD DP 10,0,C,11,P17C11,0,1,0,0,0,0,0,0,1,2,16,0,0,0,5018,0,1,0,0,1,6346,1,0,1,0,0,0,0.0022,0,0,0,11392,4
CD DP 50,0,H,11,P17H11,0,1,0,0,1,0,0,0,0,2,0,0,0,2,34017,0,0,1,0,0,13326,0,0,0,0,1,1,0.0022,0,0,0,47385,33
CD DP 50,0,G,11,P17G11,0,0,0,0,0,0,0,0,1,2,0,0,0,0,6830,0,0,0,0,0,936,0,0,1,0,0,0,0.0022,0,0,0,7779,9
CD DP 50,0,F,11,P17F11,1,1,0,0,0,0,0,0,0,4,0,0,0,0,13269,0,0,0,0,0,2254,0,0,0,0,0,2,0.0022,1,0,0,15534,2
CD ER 10,0,E,6,P17E06,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1389,0,0,0,0,0,1,0,0,15915,0,0,1,0.0022,0,0,0,17317,9
CD ER 10,0,D,6,P17D06,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1003,0,0,0,0,0,0,0,0,12606,0,0,1,0.0022,0,0,0,13613,1
CD ER 10,0,C,6,P17C06,0,0,0,0,0,0,3,0,0,2,0,0,0,0,901,0,0,1,0,0,2,0,1,11328,0,0,0,0.0022,0,0,0,12239,1
CD ER 50,0,H,6,P17H06,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7541,0,0,1,0,0,0,0,0,11829,1,1,0,0.0022,4,0,0,19390,11
CD ER 50,0,G,6,P17G06,0,0,0,0,0,0,3,0,1,1,1,0,0,0,4735,0,0,0,0,0,0,0,0,8587,0,0,0,0.0022,1,0,0,13334,5
CD ER 50,0,F,6,P17F06,0,0,0,0,0,0,1,0,1,1,1,0,0,0,3069,0,0,0,0,0,0,0,0,6193,0,0,0,0.0022,1,0,0,9287,20
CD FP 10,0,E,10,P17E10,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3092,0,0,0,0,0,0,0,1,0,0,6452,0,0.0022,0,0,0,9549,1
CD FP 10,0,D,10,P17D10,0,3,0,0,2,0,0,0,0,4,1,0,0,0,2691,0,0,0,0,0,2,0,0,0,1,5309,0,0.0022,1,0,0,8015,1
CD FP 10,0,C,10,P17C10,1,0,0,0,1,0,1,0,0,0,1,0,0,0,3599,0,0,0,0,1,1,0,2,0,0,8395,1,0.0022,0,0,0,12006,3
CD FP 50,0,H,10,P17H10,0,2,0,0,2,0,2,1,0,2,1,0,0,0,13778,0,0,1,0,0,1,0,1,0,3,5024,2,0.0022,0,0,0,18824,4
CD FP 50,0,G,10,P17G10,0,0,0,0,0,0,1,0,0,5,0,0,0,0,7388,0,1,0,0,0,0,0,2,0,0,1926,0,0.0022,0,0,0,9327,4
CD FP 50,0,F,10,P17F10,0,0,0,0,0,0,3,0,0,4,1,0,0,0,10632,0,1,0,0,0,0,0,0,0,0,3032,3,0.0022,0,0,0,13680,4
CD PC 10,0,E,7,P17E07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3639,0,0,0,0,0,1,1,0,2,0,0,0,0.0022,15686,0,0,19338,8
CD PC 10,0,D,7,P17D07,1,0,0,0,0,0,0,0,0,1,2,0,0,0,2509,0,1,0,1,0,0,0,0,0,0,3,0,0.0022,8412,0,0,10937,7
CD PC 10,0,C,7,P17C07,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2164,0,0,0,0,0,0,0,2,2,1,1,1,0.0022,9069,0,0,11245,1
CD PC 50,0,H,7,P17H07,0,2,0,0,0,0,0,0,1,1,0,0,0,0,10937,0,0,0,0,0,1,0,0,3,0,2,0,0.0022,8595,0,0,19549,7
CD PC 50,0,G,7,P17G07,1,1,0,0,0,0,0,0,2,1,0,0,0,0,7456,0,0,0,0,0,1,0,2,3,0,0,0,0.0022,4264,0,0,11746,15
CD PC 50,0,F,7,P17F07,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7505,0,0,1,0,0,0,0,1,0,0,0,1,0.0022,6330,0,0,13844,3
CD BH 10,14,E,8,P23E08,0,0,0,0,3748,0,0,0,2,1,0,0,2,0,5521,0,0,0,0,0,0,0,1,2,0,0,0,0.41,0,0,0,9288,11
CD BH 10,14,D,8,P23D08,0,0,0,0,2869,0,1,0,1,1,2,0,0,0,4755,0,1,0,0,0,1,0,0,1,0,0,0,0.4164,0,0,0,7641,9
CD BH 10,14,C,8,P23C08,0,0,0,0,1899,0,1,0,1,0,0,0,0,0,2562,0,0,0,0,0,0,0,0,3,1,0,0,0.416,0,0,0,4476,9
CD BH 50,14,H,8,P23H08,0,0,0,0,1435,0,1,0,2,0,1,0,0,0,4709,0,0,0,0,0,0,0,0,1,0,0,0,0.3644,2,0,0,6162,11
CD BH 50,14,G,8,P23G08,0,0,0,0,2139,0,0,0,0,0,0,0,2,0,6638,0,1,1,0,0,0,0,0,2,0,1,0,0.4032,1,0,0,8792,7
CD BH 50,14,F,8,P23F08,0,0,0,0,2100,0,2,0,1,0,0,0,4,0,6499,0,0,0,0,0,1,0,0,2,0,0,0,0.3788,0,0,0,8618,9
CD BO 10,14,E,3,P23E03,0,0,0,0,0,0,10753,0,0,1,2,0,0,1,228,0,2,0,0,0,1,0,1,2,0,0,0,0.3864,0,0,0,10991,0
CD BO 10,14,D,3,P23D03,0,0,0,0,1,0,7760,0,1,1,0,0,1,1,124,0,0,0,0,0,0,0,1,0,0,1,0,0.3776,0,0,0,7891,0
CD BO 10,14,C,3,P23C03,0,0,0,0,0,0,7044,0,1,1,1,0,2,1,141,0,0,0,0,0,0,0,0,0,0,0,0,0.4088,0,0,0,7191,0
CD BO 50,14,H,3,P23H03,0,0,0,0,1,0,7972,1,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,2,0,0,0,0.4232,0,0,0,8722,0
CD BO 50,14,G,3,P23G03,0,0,0,0,1,2,7782,0,0,1,1,0,1,0,626,0,0,0,0,0,0,0,0,0,0,0,0,0.4552,0,0,0,8414,0
CD BO 50,14,F,3,P23F03,0,0,0,0,1,0,9435,0,1,2,1,0,2,0,758,0,0,1,0,0,1,0,0,3,0,0,0,0.4476,0,0,0,10205,0
CD BT 10,14,E,2,P23E02,0,0,0,0,1,0,0,0,8064,1,1,0,0,0,114,0,1,0,0,0,3,0,0,0,0,1,0,0.3516,0,0,0,8186,0
CD BT 10,14,D,2,P23D02,0,0,1,0,0,0,0,0,6487,1,1,0,0,0,95,0,2,0,0,0,0,0,0,0,0,1,0,0.3944,0,0,0,6588,0
CD BT 10,14,C,2,P23C02,0,0,0,0,0,0,0,0,6893,1,0,0,0,0,80,0,0,0,0,0,1,0,2,0,0,0,0,0.3736,0,0,0,6980,3
CD BT 50,14,H,2,P23H02,0,0,1,0,0,0,0,0,5344,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,1,0.4108,0,1,0,5624,3
CD BT 50,14,G,2,P23G02,0,0,0,0,1,0,0,0,6068,0,2,0,1,0,241,0,0,0,0,0,1,0,0,0,0,0,0,0.4364,0,0,0,6315,1
CD BT 50,14,F,2,P23F02,0,0,0,0,0,0,1,0,7349,0,2,0,1,1,386,1,0,1,0,0,0,0,0,0,0,1,0,0.4228,1,0,0,7745,1
CD BU 10,14,E,1,P23E01,0,0,0,0,1,0,1,0,0,5357,0,0,2,1,3971,0,0,0,0,0,0,0,0,0,0,1,0,0.2296,0,0,1,9357,22
CD BU 10,14,D,1,P23D01,0,0,0,0,1,0,1,0,0,4363,0,0,0,0,3024,0,0,1,0,0,0,0,0,0,0,0,0,0.222,0,0,0,7397,7
CD BU 10,14,C,1,P23C01,0,0,0,0,0,0,0,0,1,5580,1,0,0,0,3467,0,0,0,0,0,0,0,0,0,0,2,0,0.2288,0,0,0,9085,34
CD BU 50,14,H,1,P23H01,0,0,0,0,0,0,0,0,0,3976,0,0,1,1,4750,0,0,0,1,0,0,0,0,0,0,0,0,0.35,0,0,0,8744,15
CD BU 50,14,G,1,P23G01,0,0,0,0,0,0,0,0,0,4822,3,0,2,2,4926,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,9767,12
CD BU 50,14,F,1,P23F01,0,0,0,0,0,0,0,0,0,4332,4,0,1,1,4345,0,0,0,0,0,37,0,0,2,0,0,0,0.3524,1,0,0,8742,19
CD BV 10,14,B,9,P23B09,0,0,0,0,0,0,0,0,0,0,10505,0,0,0,2003,0,0,0,0,0,1,0,0,1,0,1,0,0.476,0,2,0,12516,3
CD BV 10,14,B,8,P23B08,0,0,0,0,0,0,0,0,2,2,5086,0,0,0,1766,0,0,0,0,0,3,0,0,1,0,0,0,0.444,0,0,0,6860,0
CD BV 10,14,B,7,P23B07,0,0,0,0,0,0,0,0,2,1,6615,0,0,0,2536,0,0,0,0,0,0,0,0,4,0,0,0,0.4424,1,0,0,9168,9
CD BV 50,14,B,12,P23B12,0,0,0,0,1,0,0,0,0,0,7654,0,0,0,2059,0,0,0,0,0,0,0,0,0,0,0,0,0.618,0,0,0,9717,3
CD BV 50,14,B,11,P23B11,0,0,0,0,0,0,0,0,4,0,8221,0,0,0,2803,0,0,0,0,0,0,0,0,0,0,1,0,0.528,0,0,0,11036,7
CD BV 50,14,B,10,P23B10,0,0,0,0,0,0,0,0,0,0,6433,0,0,0,2677,1,0,1,0,0,2,0,0,0,0,3,0,0.5064,0,0,0,9117,0
CD CH 10,14,E,4,P23E04,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4061,0,2841,0,0,0,0,0,0,0,0,1,0,0.226,1,0,0,6926,20
CD CH 10,14,D,4,P23D04,0,0,0,0,0,0,1,0,2,0,2,0,0,0,3027,0,3061,0,0,0,1,0,0,0,0,0,0,0.2416,0,0,0,6105,11
CD CH 10,14,C,4,P23C04,0,0,0,0,0,0,1,0,1,1,2,0,0,0,2665,0,2188,1,0,0,0,0,0,0,0,0,0,0.2376,1,0,0,4872,12
CD CH 50,14,G,4,P23G04,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5250,0,1946,0,0,0,1,0,0,0,0,0,0,0.3052,0,0,0,7217,17
CD CH 50,14,F,4,P23F04,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4652,0,1758,0,0,0,0,0,0,1,0,0,0,0.2908,2,0,0,6470,55
CD CS 10,14,E,12,P23E12,0,0,0,0,0,0,0,0,0,4,1,0,0,0,7309,0,0,988,0,0,0,0,1,0,0,0,0,0.2928,0,0,0,8310,7
CD CS 10,14,D,12,P23D12,0,0,0,0,0,1,0,0,2,0,0,0,1,0,7568,0,0,1688,0,0,1,0,0,0,0,1,0,0.288,0,0,0,9272,10
CD CS 10,14,C,12,P23C12,0,0,0,0,0,1,0,0,0,2,0,0,0,0,7952,0,1,2200,0,0,0,0,0,0,0,0,0,0.2832,0,0,0,10168,12
CD CS 50,14,H,12,P23H12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5420,0,0,2056,0,0,0,0,1,0,0,0,0,0.3436,0,0,0,7482,2
CD CS 50,14,G,12,P23G12,0,1,0,0,0,0,0,0,0,2,1,0,0,0,7158,0,0,1044,0,0,1,0,2,0,0,0,0,0.3264,0,0,0,8220,11
CD CS 50,14,F,12,P23F12,0,0,0,0,0,0,1,1,0,2,0,0,1,0,9570,0,0,744,0,0,0,0,0,0,0,1,0,0.3004,0,0,0,10323,3
CD DP 10,14,E,11,P23E11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5801,0,0,0,0,0,1173,0,1,1,0,1,0,0.1844,0,0,0,6988,10
CD DP 10,14,D,11,P23D11,0,0,0,0,0,0,2,0,1,1,0,0,0,0,6549,0,0,1,0,0,1476,0,0,0,0,0,0,0.1852,0,0,0,8037,7
CD DP 10,14,C,11,P23C11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6183,0,0,1,0,0,2255,0,2,0,0,1,0,0.184,0,0,0,8447,3
CD DP 50,14,H,11,P23H11,0,0,0,0,0,0,0,0,1,0,1,1,0,0,10921,0,0,0,0,0,496,0,1,0,0,0,0,0.2612,1,0,0,11422,0
CD DP 50,14,G,11,P23G11,0,0,0,0,0,0,0,0,2,1,2,1,0,0,8786,0,0,0,0,0,1141,0,1,0,0,0,0,0.2512,0,0,0,9938,4
CD DP 50,14,F,11,P23F11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8815,0,0,0,0,0,1265,0,0,1,0,0,0,0.2476,0,0,0,10086,4
CD ER 10,14,E,6,P23E06,0,0,0,0,0,0,5,0,2,0,1,0,0,0,1384,0,1,1,0,0,0,0,0,7621,0,0,0,0.3544,0,0,0,9018,3
CD ER 10,14,D,6,P23D06,0,0,0,0,0,0,1,0,1,0,0,0,0,0,917,0,0,1,0,0,0,0,0,6987,0,0,0,0.3608,0,0,0,7908,1
CD ER 10,14,C,6,P23C06,0,0,0,0,0,0,1,0,0,1,1,0,0,0,736,0,0,0,0,0,1,0,0,6498,0,0,0,0.3336,1,0,0,7242,3
CD ER 50,14,H,6,P23H06,0,0,0,0,0,4,0,0,0,0,0,0,0,0,721,0,0,0,0,0,0,0,1,5489,0,0,0,0.4352,1,0,0,6220,4
CD ER 50,14,G,6,P23G06,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1837,0,0,1,1,0,0,0,0,6186,0,0,0,0.458,0,0,1,8035,5
CD ER 50,14,F,6,P23F06,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1600,0,0,1,0,0,0,0,0,6732,0,0,0,0.4252,2,0,0,8339,2
CD FP 10,14,E,10,P23E10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6166,0,2,0,0,0,0,0,2,0,0,2265,0,0.2828,0,0,0,8442,5
CD FP 10,14,D,10,P23D10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5896,0,1,0,0,0,0,0,0,0,0,1744,0,0.1036,0,0,0,7644,1
CD FP 10,14,C,10,P23C10,0,0,0,1,0,0,0,0,1,1,7,0,0,0,4775,0,0,0,0,1,1,0,0,1,0,1895,0,0.2704,0,0,0,6683,0
CD FP 50,14,G,10,P23G10,0,0,0,0,0,0,2,0,0,1,0,0,0,0,7216,0,0,0,0,0,0,0,1,0,0,1596,0,0.3044,0,0,0,8817,1
CD FP 50,14,F,10,P23F10,0,0,0,0,0,0,2,0,0,1,0,0,0,0,7931,0,0,0,0,0,0,0,0,0,0,1454,0,0.3044,0,0,0,9389,1
CD PC 10,14,E,7,P23E07,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8784,0,0,0,0,0,0,0,0,5,0,0,0,0.3024,396,0,0,9192,5
CD PC 10,14,D,7,P23D07,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4650,0,0,0,0,0,0,0,0,3,0,0,0,0.3048,228,0,0,4883,0
CD PC 10,14,C,7,P23C07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8583,0,1,0,0,0,1,0,0,3,0,0,0,0.3156,1242,0,0,9833,3
CD PC 50,14,H,7,P23H07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4480,0,0,1,0,0,0,0,0,3,0,0,0,0.3144,300,0,0,4787,2
CD PC 50,14,G,7,P23G07,0,0,0,0,0,0,0,0,1,0,2,0,0,0,9017,0,0,0,0,0,0,0,0,3,0,0,0,0.3196,284,0,0,9307,0
CD PC 50,14,F,7,P23F07,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3660,0,0,0,0,0,0,0,0,1,0,1,0,0.3292,42,0,0,3709,3
CD BH 10,26.5,C,8,P03C08,0,0,0,0,5904,0,0,0,1,0,4,0,0,0,4015,0,0,0,0,0,0,0,2,0,0,0,0,0.4832,2,0,0,9928,0
CD BH 10,26.5,D,8,P03D08,0,0,0,0,5868,0,2,0,0,0,0,0,0,0,4139,0,0,1,0,0,0,0,1,0,0,1,0,0.4448,0,0,0,10017,5
CD BH 10,26.5,E,8,P03E08,0,0,0,0,6855,0,0,0,0,0,1,0,0,0,4752,0,0,0,0,0,0,0,0,2,0,0,0,0.458,0,0,0,11614,4
CD BH 50,26.5,F,8,P03F08,0,0,0,0,6615,0,1,0,1,0,32,0,0,0,5456,0,0,0,0,0,0,0,0,0,0,0,0,0.5432,0,0,0,12108,3
CD BH 50,26.5,G,8,P03G08,0,0,0,0,6467,0,0,0,0,0,2,0,0,0,5681,0,0,1,0,0,0,0,2,0,1,0,0,0.5388,1,0,0,12161,6
CD BH 50,26.5,H,8,P03H08,0,0,0,0,6381,0,2,0,0,0,0,0,0,0,5756,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,12146,6
CD BO 10,26.5,C,3,P03C03,0,0,1,0,0,0,10547,0,2,1,0,0,0,0,214,0,0,0,0,0,0,0,3,0,0,0,0,0.4508,0,0,0,10768,0
CD BO 10,26.5,D,3,P03D03,0,0,0,0,0,0,11662,0,2,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,11975,0
CD BO 10,26.5,E,3,P03E03,0,0,2,0,0,0,12931,0,1,1,0,0,0,0,350,0,2,0,1,0,0,0,1,0,0,0,0,0.4312,0,0,0,13289,0
CD BO 50,26.5,F,3,P03F03,0,0,0,0,0,0,12392,0,0,1,0,0,0,0,1670,0,0,0,0,0,0,0,0,0,0,0,0,0.5188,0,0,0,14063,0
CD BO 50,26.5,G,3,P03G03,0,0,1,0,0,0,8535,0,46,0,0,0,0,0,1180,0,0,0,0,0,1,0,2,0,0,0,0,0.5276,0,0,0,9765,0
CD BO 50,26.5,H,3,P03H03,0,0,0,0,0,0,10044,0,1,0,0,0,0,0,1564,0,0,0,0,0,0,0,1,0,0,0,0,0.518,0,0,0,11610,0
CD BT 10,26.5,C,2,P03C02,0,0,0,0,0,0,1,0,11010,1,0,0,0,0,58,0,0,0,0,0,0,0,1,0,0,0,0,0.4504,0,0,0,11073,2
CD BT 10,26.5,D,2,P03D02,0,0,0,0,0,0,2,0,12280,1,0,0,0,0,86,0,0,0,0,0,0,0,1,0,0,0,0,0.4588,0,0,0,12371,1
CD BT 10,26.5,E,2,P03E02,0,0,0,0,1,0,0,0,12166,0,0,0,0,0,101,0,0,0,0,0,0,0,1,0,0,0,0,0.4256,0,0,0,12269,0
CD BT 50,26.5,F,2,P03F02,0,0,0,0,0,0,2,0,12776,0,0,0,0,0,520,0,0,0,0,0,1,0,3,1,0,0,0,0.5352,0,0,0,13307,4
CD BT 50,26.5,G,2,P03G02,0,0,0,0,0,0,0,0,12823,2,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0.556,0,0,0,13403,0
CD BT 50,26.5,H,2,P03H02,0,0,0,0,0,0,3,0,14017,0,0,0,0,0,621,0,0,0,0,0,0,0,2,1,0,0,0,0.5248,1,0,0,14650,5
CD BU 10,26.5,D,1,P03D01,0,0,0,0,0,0,2,0,1,6905,0,0,0,0,2894,0,0,0,0,0,0,0,0,1,0,0,0,0.38,0,0,0,9808,5
CD BU 10,26.5,E,1,P03E01,0,0,0,0,0,0,1,0,1,9990,0,0,0,0,4336,0,0,0,0,0,0,0,1,0,0,0,0,0.3672,0,0,0,14345,16
CD BU 50,26.5,F,1,P03F01,0,0,0,0,0,0,0,0,0,8941,0,0,0,0,4720,0,0,0,0,0,0,0,1,0,0,0,0,0.4616,0,0,0,13671,9
CD BU 50,26.5,G,1,P03G01,0,0,0,0,1,0,1,0,1,6661,0,0,0,0,3680,0,1,0,0,0,0,0,0,0,0,0,0,0.4588,0,0,0,10353,8
CD BU 50,26.5,H,1,P03H01,0,0,0,0,0,0,0,0,0,9421,0,0,0,0,4951,0,0,0,0,0,0,0,1,0,0,0,0,0.456,0,0,0,14385,12
CD BV 10,26.5,B,7,P03B07,0,0,0,0,0,0,0,0,0,0,9028,0,0,0,1059,0,0,1,0,0,0,0,1,0,0,0,0,0.5684,0,0,0,10089,0
