organism,seedid,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,ncbiid,platform,kingdom,phylum,class,order,family,genus,species,file,strain,kbaseid,id,summary_rank,tax,samples,relative,reads
Eubacterium hallii DSM 3353,Eubacterium hallii DSM 3353 (411469.3),Obligate anaerobe,"Saccharolytic, fermentative, acetate and lactate converted to butyrate",Positive,Commensal,686.0,1647.0,1189.0,Ines Thiele,04/20/12,411469.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii,Anaerobutyricum_hallii.json,Eubacterium hallii DSM 3353,,Anaerobutyricum_hallii,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_hallii,SRR11599164,0.016034768118716014,160.34768118716013
Anaerostipes hadrus DSM 3319,Anaerostipes hadrus DSM 3319 (649757.3),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,812.0,1704.0,1227.0,chenry,09/10/14,649757.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,Anaerostipes_hadrus.json,Anaerostipes hadrus DSM 3319,kb|g.32259,Anaerostipes_hadrus,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,SRR11599164,0.00702506788729021,70.2506788729021
,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,,,,,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia obeum,Blautia_obeum.json,,kb|g.1354,Blautia_obeum,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum,SRR11599164,0.010502043527703031,105.02043527703032
Blautia wexlerae DSM 19850,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,855.0,1249.0,1006.0,Laura Kutt,04/18/16,1121115.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia wexlerae,Blautia_wexlerae.json,Blautia wexlerae DSM 19850,kb|g.207068,Blautia_wexlerae,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,SRR11599164,0.06611228194438616,661.1228194438617
Coprococcus catus GD/7,Coprococcus catus GD/7 (717962.3),Obligate anaerobe,"Saccharolytic, fermentative",Positive,,843.0,1783.0,1276.0,Laura Kutt,04/18/16,717962.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus catus,Coprococcus_catus.json,Coprococcus catus GD/7,kb|g.3102,Coprococcus_catus,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus,SRR11599164,0.010105743474580525,101.05743474580524
Coprococcus comes ATCC 27758,Coprococcus comes ATCC 27758 (470146.3),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,735.0,1074.0,879.0,Ines Thiele,04/20/12,470146.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus comes,Coprococcus_comes.json,Coprococcus comes ATCC 27758,,Coprococcus_comes,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,SRR11599164,0.02011033923685781,201.10339236857808
Dorea formicigenerans ATCC 27755,Dorea formicigenerans ATCC 27755 (411461.4),Obligate anaerobe,"Saccharolytic, fermentative",Positive,,762.0,2072.0,1356.0,Laura Kutt,04/18/16,411461.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea formicigenerans,Dorea_formicigenerans.json,Dorea formicigenerans ATCC 27755,kb|g.1356,Dorea_formicigenerans,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans,SRR11599164,0.009958904263823369,99.58904263823369
Dorea longicatena DSM 13814,Dorea longicatena DSM 13814 (411462.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,697.0,1536.0,1131.0,Ines Thiele,06/29/12,411462.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea longicatena,Dorea_longicatena.json,Dorea longicatena DSM 13814,,Dorea_longicatena,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,SRR11599164,0.021566387270250273,215.66387270250272
Ruminococcus lactaris ATCC 29176,Ruminococcus lactaris ATCC 29176 (471875.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,608.0,2046.0,1255.0,Ines Thiele,04/20/12,471875.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] lactaris,_Ruminococcus__lactaris.json,Ruminococcus lactaris ATCC 29176,,_Ruminococcus__lactaris,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_lactaris,SRR11599164,0.009863283748913753,98.63283748913753
,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,,,,Ines Thiele,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] torques,_Ruminococcus__torques.json,,,_Ruminococcus__torques,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_torques,SRR11599164,0.03779184369904615,377.91843699046154
Roseburia intestinalis L1-82,Roseburia intestinalis L1-82 (536231.5),Obligate anaerobe,"Saccharolytic, fermentative, acetate converted to butyrate",Negative,Commensal,756.0,2095.0,1311.0,Ines Thiele,06/25/12,536231.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia intestinalis,Roseburia_intestinalis.json,Roseburia intestinalis L1-82,,Roseburia_intestinalis,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,SRR11599164,0.02588128603553579,258.8128603553579
Roseburia inulinivorans DSM 16841,Roseburia inulinivorans DSM 16841 (622312.4),Obligate anaerobe,"Saccharolytic, fermentative, acetate converted to butyrate",Negative,Commensal,681.0,2063.0,1304.0,Ines Thiele,06/25/12,622312.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia inulinivorans,Roseburia_inulinivorans.json,Roseburia inulinivorans DSM 16841,,Roseburia_inulinivorans,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,SRR11599164,0.0395395435149086,395.395435149086
,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Clostridioides|s__Clostridioides_difficile,SRR11599164,0.10000000000000002,1000.0000000000002
Clostridium bartlettii DSM 16795,Clostridium bartlettii DSM 16795 (445973.7),Obligate anaerobe,Ferments carbohydrates and amino acids,Positive,Commensal,682.0,1381.0,1023.0,Ines Thiele,04/20/12,445973.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Intestinibacter,Intestinibacter bartlettii,Intestinibacter_bartlettii.json,Clostridium bartlettii DSM 16795,,Intestinibacter_bartlettii,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii,SRR11599164,0.001952206119426359,19.52206119426359
,,,"Saccharolytic, fermentative, acetate converted to butyrate",Structurally positive but stains negative,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium_prausnitzii.json,,,Faecalibacterium_prausnitzii,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,SRR11599164,0.1501962462141257,1501.962462141257
Flavonifractor plautii ATCC 29863,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,744.0,1207.0,970.0,Laura Kutt,04/18/16,411475.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Flavonifractor plautii,Flavonifractor_plautii.json,Flavonifractor plautii ATCC 29863,kb|g.26645,Flavonifractor_plautii,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii,SRR11599164,0.002093518132789894,20.935181327898942
Ruminococcus sp. 5_1_39BFAA,Ruminococcus sp. 5_1_39BFAA (457412.4),Obligate anaerobe,"Saccharolytic, fermentative",Structurally positive but may stain negative,Commensal,780.0,1093.0,898.0,Ines Thiele,06/29/12,457412.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus sp. 5_1_39BFAA,Ruminococcus_sp__5_1_39BFAA.json,Ruminococcus sp. 5_1_39BFAA,,Ruminococcus_sp__5_1_39BFAA,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_AF41_9,SRR11599164,0.0028822492008593772,28.822492008593773
Megamonas funiformis YIT 11815,Megamonas funiformis YIT 11815 (742816.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,,811.0,1249.0,935.0,Laura Kutt,04/18/16,742816.0,Kbase,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,Megamonas_funiformis.json,Megamonas funiformis YIT 11815,kb|g.27486,Megamonas_funiformis,species,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas_funiformis,SRR11599164,0.006162456614059349,61.62456614059349
Dialister invisus DSM 15470,Dialister invisus DSM 15470 (592028.3),Obligate anaerobe,Fermentative,Negative,Commensal,500.0,964.0,788.0,Laura Kutt,04/18/16,592028.0,ModelSEED,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister invisus,Dialister_invisus.json,Dialister invisus DSM 15470,kb|g.2571,Dialister_invisus,species,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus,SRR11599164,0.012682522899485871,126.8252289948587
"Veillonella parvula Te3, DSM 2008",Veillonella parvula DSM 2008 (479436.6),Obligate anaerobe,"Asaccharolytic, ferments TCA cycle intermediates",Negative,Commensal,603.0,1085.0,859.0,Eugen Bauer,08/03/14,479436.0,Kbase,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella parvula,Veillonella_parvula.json,"Veillonella parvula Te3, DSM 2008",,Veillonella_parvula,species,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,SRR11599164,0.006995405261277787,69.95405261277787
Sutterella wadsworthensis 3_1_45B,Sutterella wadsworthensis 3_1_45B (742821.3),Microaerophile/ anaerobe,"Asaccharolytic, nonfermentative",Negative,Pathogen,613.0,1019.0,840.0,Ines Thiele,06/29/12,742821.0,Kbase,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella wadsworthensis,Sutterella_wadsworthensis.json,Sutterella wadsworthensis 3_1_45B,,Sutterella_wadsworthensis,species,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis,SRR11599164,0.003650345398659348,36.50345398659348
Bilophila wadsworthia 3_1_6,Bilophila wadsworthia 3_1_6 (563192.3),Obligate anaerobe,"Only anaerobic respiration, nonfermentative, asaccharolytic",Negative,Commensal,819.0,1386.0,1081.0,Ines Thiele,06/29/12,563192.0,ModelSEED,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,Bilophila wadsworthia,Bilophila_wadsworthia.json,Bilophila wadsworthia 3_1_6,,Bilophila_wadsworthia,species,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia,SRR11599164,0.014902061132850286,149.02061132850287
,Bifidobacterium adolescentis ATCC 15703 (367928.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,,,,,,,,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,Bifidobacterium_adolescentis.json,,,Bifidobacterium_adolescentis,species,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,SRR11599166,0.008060703245110842,80.60703245110842
,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,,,,,,,Kbase,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum,Bifidobacterium_bifidum.json,,,Bifidobacterium_bifidum,species,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,SRR11599166,0.041938470185647454,419.3847018564745
Bifidobacterium pseudocatenulatum DSM 20438,Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,539.0,885.0,729.0,Ines Thiele,04/20/12,547043.0,ModelSEED,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudocatenulatum,Bifidobacterium_pseudocatenulatum.json,Bifidobacterium pseudocatenulatum DSM 20438,,Bifidobacterium_pseudocatenulatum,species,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,SRR11599166,0.024018298740158192,240.18298740158193
,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,,,,,,,,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,Bifidobacterium_longum.json,,,Bifidobacterium_longum,species,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,SRR11599166,0.028658808748408857,286.5880874840886
Bifidobacterium pseudolongum subsp. Pseudolongum DSM 20099,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,469.0,1097.0,874.0,chenry,04/15/16,1437595.0,Kbase,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudolongum,Bifidobacterium_pseudolongum.json,Bifidobacterium pseudolongum subsp. Pseudolongum DSM 20099,kb|g.239965,Bifidobacterium_pseudolongum,species,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,SRR11599166,0.028658808748408857,286.5880874840886
Collinsella aerofaciens ATCC 25986,Collinsella aerofaciens ATCC 25986 (411903.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,540.0,878.0,732.0,Ines Thiele,04/20/12,411903.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,Collinsella_aerofaciens.json,Collinsella aerofaciens ATCC 25986,,Collinsella_aerofaciens,species,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,SRR11599166,0.039589510686037443,395.8951068603744
Adlercreutzia equolifaciens DSM 19450,,Obligate anaerobe,"Asaccharolytic, nonfermentative",Positive,Commensal,590.0,942.0,813.0,chenry,09/09/14,1384484.0,Kbase,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia_equolifaciens.json,Adlercreutzia equolifaciens DSM 19450,,Adlercreutzia_equolifaciens,species,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,SRR11599166,0.006626831038727024,66.26831038727023
Bacteroides uniformis ATCC 8492,Bacteroides uniformis ATCC 8492 (411479.10),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851.0,1196.0,962.0,Ines Thiele,04/20/12,411479.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides_uniformis.json,Bacteroides uniformis ATCC 8492,,Bacteroides_uniformis,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,SRR11599166,0.004066570383873785,40.66570383873785
Barnesiella intestinihominis YIT 11860,Barnesiella intestinihominis YIT 11860 (742726.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,622.0,2235.0,1282.0,chenry,09/10/14,742726.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,Barnesiella_intestinihominis.json,Barnesiella intestinihominis YIT 11860,kb|g.27473,Barnesiella_intestinihominis,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis,SRR11599166,0.001022541294647889,10.22541294647889
"Prevotella copri CB7, DSM 18205",Prevotella copri DSM 18205 (537011.5),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,1099.0,1634.0,1139.0,Ines Thiele,06/25/12,165179.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,Prevotella_copri.json,"Prevotella copri CB7, DSM 18205",,Prevotella_copri,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri,SRR11599166,0.026323825783249502,263.23825783249504
Alistipes putredinis DSM 17216,Alistipes putredinis DSM 17216 (445970.5),Obligate anaerobe,"Weakly saccharolytic, fermentative",Negative,Commensal,421.0,858.0,721.0,chenry,09/09/14,445970.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes_putredinis.json,Alistipes putredinis DSM 17216,kb|g.1522,Alistipes_putredinis,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,SRR11599166,0.006412524177150321,64.12524177150321
,,Obligate anaerobe,Uncharacterized,Uncharacterized,Uncharacterized,,,,Ines Thiele,,457396.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. 7_2_43FAA,Clostridium_sp__7_2_43FAA.json,,,Clostridium_sp__7_2_43FAA,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF36_4,SRR11599166,0.0011468272515370432,11.468272515370431
Eubacterium ramulus ATCC 29099,,Obligate anaerobe,"Saccharolytic, fermentative, acetate converted to butyrate",Positive,Commensal,681.0,1129.0,910.0,chenry,09/09/14,1256908.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium ramulus,Eubacterium_ramulus.json,Eubacterium ramulus ATCC 29099,kb|g.208433,Eubacterium_ramulus,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus,SRR11599166,0.0027906480453140287,27.906480453140286
Eubacterium ventriosum ATCC 27560,Eubacterium ventriosum ATCC 27560 (411463.4),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,553.0,1389.0,1066.0,Ines Thiele,04/20/12,411463.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium ventriosum,Eubacterium_ventriosum.json,Eubacterium ventriosum ATCC 27560,,Eubacterium_ventriosum,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum,SRR11599166,0.002453858650648256,24.53858650648256
Eubacterium hallii DSM 3353,Eubacterium hallii DSM 3353 (411469.3),Obligate anaerobe,"Saccharolytic, fermentative, acetate and lactate converted to butyrate",Positive,Commensal,686.0,1647.0,1189.0,Ines Thiele,04/20/12,411469.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii,Anaerobutyricum_hallii.json,Eubacterium hallii DSM 3353,,Anaerobutyricum_hallii,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_hallii,SRR11599166,0.02016603521786111,201.6603521786111
Anaerostipes hadrus DSM 3319,Anaerostipes hadrus DSM 3319 (649757.3),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,812.0,1704.0,1227.0,chenry,09/10/14,649757.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,Anaerostipes_hadrus.json,Anaerostipes hadrus DSM 3319,kb|g.32259,Anaerostipes_hadrus,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,SRR11599166,0.0620191433436379,620.191433436379
,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,,,,,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia obeum,Blautia_obeum.json,,kb|g.1354,Blautia_obeum,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum,SRR11599166,0.00979048724002519,97.90487240025189
Blautia wexlerae DSM 19850,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,855.0,1249.0,1006.0,Laura Kutt,04/18/16,1121115.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia wexlerae,Blautia_wexlerae.json,Blautia wexlerae DSM 19850,kb|g.207068,Blautia_wexlerae,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,SRR11599166,0.08535349360761406,853.5349360761406
Coprococcus catus GD/7,Coprococcus catus GD/7 (717962.3),Obligate anaerobe,"Saccharolytic, fermentative",Positive,,843.0,1783.0,1276.0,Laura Kutt,04/18/16,717962.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus catus,Coprococcus_catus.json,Coprococcus catus GD/7,kb|g.3102,Coprococcus_catus,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus,SRR11599166,0.003972341490319372,39.72341490319372
Coprococcus comes ATCC 27758,Coprococcus comes ATCC 27758 (470146.3),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,735.0,1074.0,879.0,Ines Thiele,04/20/12,470146.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus comes,Coprococcus_comes.json,Coprococcus comes ATCC 27758,,Coprococcus_comes,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,SRR11599166,0.01004852712875394,100.48527128753939
Coprococcus eutactus ATCC 27759,Coprococcus eutactus ATCC 27759 (411474.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,601.0,1688.0,1172.0,Ines Thiele,04/20/12,411474.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus eutactus,Coprococcus_eutactus.json,Coprococcus eutactus ATCC 27759,,Coprococcus_eutactus,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus,SRR11599166,0.04492253543352054,449.2253543352054
Dorea formicigenerans ATCC 27755,Dorea formicigenerans ATCC 27755 (411461.4),Obligate anaerobe,"Saccharolytic, fermentative",Positive,,762.0,2072.0,1356.0,Laura Kutt,04/18/16,411461.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea formicigenerans,Dorea_formicigenerans.json,Dorea formicigenerans ATCC 27755,kb|g.1356,Dorea_formicigenerans,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans,SRR11599166,0.008855261714364723,88.55261714364724
Dorea longicatena DSM 13814,Dorea longicatena DSM 13814 (411462.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,697.0,1536.0,1131.0,Ines Thiele,06/29/12,411462.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea longicatena,Dorea_longicatena.json,Dorea longicatena DSM 13814,,Dorea_longicatena,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,SRR11599166,0.04358244126474111,435.8244126474111
,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,,,,Ines Thiele,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] torques,_Ruminococcus__torques.json,,,_Ruminococcus__torques,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_torques,SRR11599166,0.018100213254864363,181.00213254864363
