organism,seedid,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,ncbiid,platform,kingdom,phylum,class,order,family,genus,species,file,strain,kbaseid,id,summary_rank,tax,samples,relative,reads
Eubacterium hallii DSM 3353,Eubacterium hallii DSM 3353 (411469.3),Obligate anaerobe,"Saccharolytic, fermentative, acetate and lactate converted to butyrate",Positive,Commensal,686.0,1647.0,1189.0,Ines Thiele,04/20/12,411469.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii,Anaerobutyricum_hallii.json,Eubacterium hallii DSM 3353,,Anaerobutyricum_hallii,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_hallii,CAVI230300_t7,0.002729627494922885,27.29627494922885
Anaerostipes hadrus DSM 3319,Anaerostipes hadrus DSM 3319 (649757.3),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,812.0,1704.0,1227.0,chenry,09/10/14,649757.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,Anaerostipes_hadrus.json,Anaerostipes hadrus DSM 3319,kb|g.32259,Anaerostipes_hadrus,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,CAVI230300_t7,0.007599757461729206,75.99757461729206
"Blautia hansenii VPI C7-24, DSM 20583",Blautia hansenii DSM 20583 (537007.6),Obligate anaerobe,"Saccharolytic, fermentative, hydrogen used as energy source",Positive,Commensal,633.0,2055.0,1191.0,Ines Thiele,04/20/12,537007.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia hansenii,Blautia_hansenii.json,"Blautia hansenii VPI C7-24, DSM 20583",,Blautia_hansenii,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hansenii,CAVI230300_t7,0.01170639211816128,117.06392118161281
Coprococcus catus GD/7,Coprococcus catus GD/7 (717962.3),Obligate anaerobe,"Saccharolytic, fermentative",Positive,,843.0,1783.0,1276.0,Laura Kutt,04/18/16,717962.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus catus,Coprococcus_catus.json,Coprococcus catus GD/7,kb|g.3102,Coprococcus_catus,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus,CAVI230300_t7,0.0016581256524121671,16.58125652412167
Coprococcus comes ATCC 27758,Coprococcus comes ATCC 27758 (470146.3),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,735.0,1074.0,879.0,Ines Thiele,04/20/12,470146.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus comes,Coprococcus_comes.json,Coprococcus comes ATCC 27758,,Coprococcus_comes,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,CAVI230300_t7,0.0012288102830827373,12.288102830827373
Dorea longicatena DSM 13814,Dorea longicatena DSM 13814 (411462.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,697.0,1536.0,1131.0,Ines Thiele,06/29/12,411462.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea longicatena,Dorea_longicatena.json,Dorea longicatena DSM 13814,,Dorea_longicatena,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,CAVI230300_t7,0.003782191580817323,37.82191580817323
Clostridium bolteae ATCC BAA-613,Clostridium bolteae ATCC BAA-613 (411902.9),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,1298.0,1932.0,1300.0,Ines Thiele,04/20/12,411902.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,Enterocloster_bolteae.json,Clostridium bolteae ATCC BAA-613,,Enterocloster_bolteae,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_bolteae,CAVI230300_t7,0.0026194847878102784,26.194847878102784
,,Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] symbiosum,_Clostridium__symbiosum.json,,kb|g.215864,_Clostridium__symbiosum,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum,CAVI230300_t7,0.0016625027754036655,16.625027754036655
Ruminococcus gnavus ATCC 29149,Ruminococcus gnavus ATCC 29149 (411470.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,768.0,2225.0,1339.0,Ines Thiele,06/25/12,411470.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,_Ruminococcus__gnavus.json,Ruminococcus gnavus ATCC 29149,,_Ruminococcus__gnavus,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_gnavus,CAVI230300_t7,0.004944719715743082,49.44719715743082
,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,,,,Ines Thiele,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] torques,_Ruminococcus__torques.json,,,_Ruminococcus__torques,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_torques,CAVI230300_t7,0.11656233861840332,1165.623386184033
